indice,Data_Publicacao,data_gmt,Data_Pregao_Atribuido,Categoria,Portal,Fonte,Noticia,Resumo,URL,Idioma,texto
N0045958,2024-12-18 17:00:58,2024-12-18T20:00:58,2024-12-19,CAT7_Macro_Energia,Petronoticias,WP_Petronoticias,"A STEMAC CRUZA AS DIFICULDADES, ENCERRA RECUPERAÇÃO JUDICIAL E VAI FATURAR R$ 420 MILHÕES ESTE ANO","É bom para o mercado ver uma empresa cruzar as dificuldades, retomar as atividades e se recuperar, como é o caso da  Stemac, uma das  líderes na fabricação e comercialização de grupos geradores no Brasil. A empresa conseguiu encerrar oficialmente seu processo de recuperação judicial neste mês, com um crescimento de 50% no último ano […]",https://petronoticias.com.br/a-stemac-cruza-as-dificuldades-encerra-recuperacao-judicial-e-vai-faturar-r-420-milhoes-este-ano/,pt,"a stemac cruza as dificuldades, encerra recuperação judicial e vai faturar r$ 420 milhões este ano || é bom para o mercado ver uma empresa cruzar as dificuldades, retomar as atividades e se recuperar, como é o caso da  stemac, uma das  líderes na fabricação e comercialização de grupos geradores no brasil. a empresa conseguiu encerrar oficialmente seu processo de recuperação judicial neste mês, com um crescimento de 50% no último ano […]"
N0046212,2025-01-06 17:18:23,2025-01-06T20:18:23,2025-01-07,CAT7_Macro_Energia,MoneyTimes,WP_MoneyTimes,Dólar cai mais de 1% após notícia de que governo Trump pode moderar tarifas,"O dólar fechou a segunda-feira (6) com queda superior a 1% ante o real, em sintonia com o cenário positivo para as moedas de países emergentes no exterior após notícia de que o governo de Donald Trump pode adotar tarifas de importação não tão elevadas nos Estados Unidos. Apesar do recuo no Brasil, a moeda […]",https://www.moneytimes.com.br/dolar-a-vista-fecha-em-baixa-de-111-a-r-611-kda/,pt,"dólar cai mais de 1% após notícia de que governo trump pode moderar tarifas || o dólar fechou a segunda-feira (6) com queda superior a 1% ante o real, em sintonia com o cenário positivo para as moedas de países emergentes no exterior após notícia de que o governo de donald trump pode adotar tarifas de importação não tão elevadas nos estados unidos. apesar do recuo no brasil, a moeda […]"
N0046441,2025-01-17 17:19:24,2025-01-17T20:19:24,2025-01-20,CAT7_Macro_Energia,MoneyTimes,WP_MoneyTimes,XP eleva Santander (SANB11) para compra e segue neutro em Bradesco (BBDC4) e Nubank (ROXO34),"A XP Investimentos ajustou as estimativas para o Santander (SANB11), Bradesco (BBDC4) e Nubank (ROXO34). De acordo com os analistas Bernardo Guttmann, Matheus Guimarães e Rafael Nobre, o banco que se destaca é o Santander – a instituição elevou a recomendação para “compra”, com preço-alvo de R$ 35, potencial alta de 40%. “A estratégia do […]",https://www.moneytimes.com.br/sanb11-bbdc4-e-roxo34-em-qual-banco-apostar-em-2025-segundo-a-xp-mtm/,pt,"xp eleva santander (sanb11) para compra e segue neutro em bradesco (bbdc4) e nubank (roxo34) || a xp investimentos ajustou as estimativas para o santander (sanb11), bradesco (bbdc4) e nubank (roxo34). de acordo com os analistas bernardo guttmann, matheus guimarães e rafael nobre, o banco que se destaca é o santander – a instituição elevou a recomendação para “compra”, com preço-alvo de r$ 35, potencial alta de 40%. “a estratégia do […]"
N0046756,2025-02-01 18:50:02,2025-02-01T21:50:02,2025-02-03,CAT6_Governanca,Exame,WP_Exame,Lula avalia como positiva eleições de Alcolumbre e Motta e cogita entregar SRI ao Centrão,Governo cogita nomear como ministros ex-presidentes do Senado e da Câmara para reforçar articulação política no Congresso,https://exame.com/brasil/lula-avalia-como-positiva-eleicoes-de-alcolumbre-e-motta-e-cogita-entregar-sri-ao-centrao/,pt,lula avalia como positiva eleições de alcolumbre e motta e cogita entregar sri ao centrão || governo cogita nomear como ministros ex-presidentes do senado e da câmara para reforçar articulação política no congresso
N0046919,2025-02-10 18:14:20,2025-02-10T21:14:20,2025-02-11,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,"Gerdau, Usiminas e CSN: por que as ações subiram mesmo com ameaça de tarifas dos EUA?","Gerdau foi a que mais subiu na Bolsa – e que teria mais impacto positivo por ter parque industrial nos EUA -, mas CSNA3 e USIM5 também subiram",https://www.infomoney.com.br/mercados/gerdau-alta-csn-e-usiminas-volateis-qual-efeito-ameacas-de-tarifas-sobre-aco-eua-trump-b3/,pt,"gerdau, usiminas e csn: por que as ações subiram mesmo com ameaça de tarifas dos eua? || gerdau foi a que mais subiu na bolsa – e que teria mais impacto positivo por ter parque industrial nos eua -, mas csna3 e usim5 também subiram"
N0046952,2025-02-11 18:48:02,2025-02-11T21:48:02,2025-02-12,CAT2_Mercado_Petroleo,MoneyTimes,WP_MoneyTimes,"Copel (CPLE6): O potencial da ação com uma nova política de dividendos, segundo o BTG","A percepção de dividendos sólidos e recorrentes para a Copel (CPLE6) poder ser um grande diferencial para a tese de investimentos na empresa, disse o BTG Pactual, em meio a uma reestruturação da companhia. A instituição segue recomendando a compra do papel, a um preço-alvo de R$ 15 – a ação é negociada na faixa dos […]",https://www.moneytimes.com.br/copel-cple6-o-potencial-da-acao-com-a-nova-politica-de-dividendos-kda/,pt,"copel (cple6): o potencial da ação com uma nova política de dividendos, segundo o btg || a percepção de dividendos sólidos e recorrentes para a copel (cple6) poder ser um grande diferencial para a tese de investimentos na empresa, disse o btg pactual, em meio a uma reestruturação da companhia. a instituição segue recomendando a compra do papel, a um preço-alvo de r$ 15 – a ação é negociada na faixa dos […]"
N0046956,2025-02-11 20:00:33,2025-02-11T23:00:33,2025-02-12,CAT7_Macro_Energia,Petronoticias,WP_Petronoticias,FECHAMENTO DE FÁBRICA DE PÁS DA GE VERNOVA EM PERNAMBUCO DEIXARÁ MIL DEMITIDOS E EXPÕE MOMENTO DIFÍCIL DO SETOR EÓLICO,"Uma notícia muito negativa para o estado de Pernambuco. A GE Vernova revelou que vai fechar sua fábrica de pás eólicas no estado, localizada na cidade de Suape. A decisão de fechar a planta se deve à queda na demanda no mercado da América Latina. Com o encerramento das operações da planta, cerca de mil […]",https://petronoticias.com.br/fechamento-de-fabrica-de-pas-da-ge-vernova-em-pernambuco-deixara-mil-demitidos-e-expoe-momento-dificil-do-setor-eolico/,pt,"fechamento de fábrica de pás da ge vernova em pernambuco deixará mil demitidos e expõe momento difícil do setor eólico || uma notícia muito negativa para o estado de pernambuco. a ge vernova revelou que vai fechar sua fábrica de pás eólicas no estado, localizada na cidade de suape. a decisão de fechar a planta se deve à queda na demanda no mercado da américa latina. com o encerramento das operações da planta, cerca de mil […]"
N0046943,2025-02-11 17:37:57,2025-02-11T20:37:57,2025-02-12,CAT3_Geopolitica,InfoMoney,WP_InfoMoney,Casa Branca diz que Rússia libertou americano e vê sinal positivo para paz na Ucrânia,"Marc Fogel é professor e estava preso desde agosto de 2021, quando foi acusado de tráfico de drogas ao ser detido com maconha para fins médicos",https://www.infomoney.com.br/mundo/casa-branca-diz-que-russia-libertou-americano-e-ve-sinal-positivo-para-paz-na-ucrania/,pt,"casa branca diz que rússia libertou americano e vê sinal positivo para paz na ucrânia || marc fogel é professor e estava preso desde agosto de 2021, quando foi acusado de tráfico de drogas ao ser detido com maconha para fins médicos"
N0047016,2025-02-14 17:39:16,2025-02-14T20:39:16,2025-02-17,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,XP eleva Alupar e mantém visão cautelosa para Taesa e Isa Energia: veja os motivos,"Corretora revisa preço-alvo de Alupar para R$ 40 e eleva recomendação para compra, enquanto mantém perspectivas mais neutras para outras transmissoras",https://www.infomoney.com.br/mercados/xp-eleva-alupar-e-mantem-visao-cautelosa-para-taesa-e-isa-energia-veja-os-motivos/,pt,"xp eleva alupar e mantém visão cautelosa para taesa e isa energia: veja os motivos || corretora revisa preço-alvo de alupar para r$ 40 e eleva recomendação para compra, enquanto mantém perspectivas mais neutras para outras transmissoras"
N0047239,2025-02-26 17:33:18,2025-02-26T20:33:18,2025-02-27,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Dólar a R$ 5,80: Por que moeda subiu forte nesta quarta?","Em uma sessão de modo geral negativa para os ativos brasileiros, o dólar fechou a quarta-feira novamente acima dos R$ 5,80, com as cotações sendo impulsionadas por fatores internos e externos. Além do avanço da moeda norte-americana também no exterior, o dólar foi influenciado pela forte geração de vagas formais de emprego no Brasil em […]",https://www.moneytimes.com.br/dolar-a-r-580-por-que-moeda-subiu-forte-nesta-quarta-rnda/,pt,"dólar a r$ 5,80: por que moeda subiu forte nesta quarta? || em uma sessão de modo geral negativa para os ativos brasileiros, o dólar fechou a quarta-feira novamente acima dos r$ 5,80, com as cotações sendo impulsionadas por fatores internos e externos. além do avanço da moeda norte-americana também no exterior, o dólar foi influenciado pela forte geração de vagas formais de emprego no brasil em […]"
N0047287,2025-02-27 18:36:50,2025-02-27T21:36:50,2025-02-28,CAT1_Empresa,InfoMoney,WP_InfoMoney,"IRB (IRBR3) tem alívio e salta 7,80% com recuperação e recomendação elevada","Após derrocada de 18% da véspera, Safra elevou recomendação das ações para neutra",https://www.infomoney.com.br/mercados/irb-irbr3-acao-tem-alivio-e-saltam-mais-de-10-com-recuperacao-e-recomendacao-elevada/,pt,"irb (irbr3) tem alívio e salta 7,80% com recuperação e recomendação elevada || após derrocada de 18% da véspera, safra elevou recomendação das ações para neutra"
