data_publicacao,ativo,categoria,fonte_coleta,termo_busca,titulo,resumo,url,dominio,idioma,hash_titulo
2024-01-29 23:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Contas públicas tem déficit de R$ 230 , 54 bilhões em 2023","Contas públicas tem déficit de R$ 230 , 54 bilhões em 2023",https://www.jornalfolhadoestado.com/economia/contas-publicas-tem-deficit-de-r-230-54-bilhoes-em-2023,jornalfolhadoestado.com,Portuguese,bac174047e325acae872082620e9b6698af502c8f50888ee0a456e88b62aaa00
2024-01-29 22:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa fecha em queda de 0 , 36 %, com agenda da semana endossando cautela","Ibovespa fecha em queda de 0 , 36 %, com agenda da semana endossando cautela",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-036-com-agenda-da-semana-endossando-cautela/,infomoney.com.br,Portuguese,018cd55107735830d3b685676a3fec5aab502faedc4e9a5e1e9dc60fa2fdd456
2024-01-29 22:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Diálogos do Sul : Brasil segue vulnerável à guerra híbrida mesmo após golpes e Lava Jato , dizem analistas","Diálogos do Sul : Brasil segue vulnerável à guerra híbrida mesmo após golpes e Lava Jato , dizem analistas",https://dialogosdosul.operamundi.uol.com.br/brasil/85284/brasil-segue-vulneravel-a-guerra-hibrida-mesmo-apos-golpes-e-lava-jato-dizem-analistas,dialogosdosul.operamundi.uol.com.br,Portuguese,1f7a17ee01c47ea115c2508c31a74815769b28056aa902e0ab92f935cedb7f1c
2024-01-29 22:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa inicia semana em baixa de 0 , 36 %, aos 128 , 5 mil pontos - 29 / 01 / 2024","Ibovespa inicia semana em baixa de 0 , 36 %, aos 128 , 5 mil pontos - 29 / 01 / 2024",https://www.dgabc.com.br/Noticia/4098400/ibovespa-inicia-semana-em-baixa-de-0-36-aos-128-5-mil-pontos,dgabc.com.br,Portuguese,defbcae3c89bb66121522e96e9e1f1f62f742bb6e00018c582016500bf8a8be8
2024-01-29 21:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,SINE Municipal de Uberaba oferece vagas de emprego,SINE Municipal de Uberaba oferece vagas de emprego,https://www.jornaldeuberaba.com.br/noticia/73127/sine-municipal-de-uberaba-oferece-vagas-de-emprego,jornaldeuberaba.com.br,Portuguese,9afe0bfdd0dbcd510037507749a01ac3bd5a7b941c880be7f8ff75f49d0d6ba5
2024-01-29 19:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Gerdau ( GGBR4 ) cai 12 % em 2024 e analista recomenda compra – por quê ?,Gerdau ( GGBR4 ) cai 12 % em 2024 e analista recomenda compra – por quê ?,https://exame.com/invest/onde-investir/gerdau-ggbr4-derrete-12-em-2024-e-analista-recomenda-compra-por-que/,exame.com,Portuguese,821bd6f0ddfac61f3ad34457ea49a38257fd13b1669f8e54d04b1a38d64dfaec
2024-01-29 18:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Pagamento de precatórios eleva déficit para R$ 230 , 54 bi em 2023","Pagamento de precatórios eleva déficit para R$ 230 , 54 bi em 2023",https://www.cartacapital.com.br/economia/pagamento-de-precatorios-eleva-deficit-para-r-23054-bi-em-2023/,cartacapital.com.br,Portuguese,280f75a8b5e9adf902fabbe9a29bc6e5536f71307610c82f584f6ee2b7f3edb7
2024-01-29 17:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Diesel está em média 11 % abaixo da paridade internacional e gasolina,Diesel está em média 11 % abaixo da paridade internacional e gasolina,https://www.acritica.net/editorias/economia/diesel-no-brasil-esta-em-media-11-abaixo-da-paridade-internacional-e-g/715787/,acritica.net,Portuguese,81646fedb0e06b0277b0e00fe93a2469f8c023189e6dc770b7a5bc186d606819
2024-01-29 15:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Gasolina , diesel e botijão de gás sobem em fevereiro","Gasolina , diesel e botijão de gás sobem em fevereiro",https://diariodocomercio.com.br/economia/gasolina-diesel-gas-fevereiro-icms/,diariodocomercio.com.br,Portuguese,5026b5fcbab86a1f7904dc6b9cef28692bf810abccd2755a6d2178f10a4ae3c6
2024-01-29 15:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Gasolina , diesel e botijão de gás sobem nesta quinta ( 1º ) com novo ICMS","Gasolina , diesel e botijão de gás sobem nesta quinta ( 1º ) com novo ICMS",https://www.bonde.com.br/bondenews/economia/gasolina-diesel-e-botijao-de-gas-sobem-nesta-quinta-1-com-novo-icms,bonde.com.br,Portuguese,e70c7ddf946e4e81bcb684018b3964364f0f2b0d2a3dfd3973631bd677b7896f
2024-01-29 14:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Dólar abre sessão com leve alta com mercado à espera de decisões sobre juros,Dólar abre sessão com leve alta com mercado à espera de decisões sobre juros,https://jornaldebrasilia.com.br/noticias/economia/dolar-abre-sessao-com-leve-alta-com-mercado-a-espera-de-decisoes-sobre-juros/,jornaldebrasilia.com.br,Portuguese,2d80bbbed3a4061667a7017248f2da012284d9da1d759115ec3a9e2ee8076cc6
2024-01-29 14:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Morning Xpress - Jornal A Plateia,Morning Xpress - Jornal A Plateia,https://www.aplateia.com.br/2024/01/29/morning-xpress-296/,aplateia.com.br,Portuguese,2eaa1a07948755334cc9378099681d5178eda60ae523517005540a8e47c2383d
2024-01-29 13:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Ibovespa Ao Vivo : Bolsa abre em queda com VALE3 e bancos ; PETR4 oscila e MGLU3 sobe,Ibovespa Ao Vivo : Bolsa abre em queda com VALE3 e bancos ; PETR4 oscila e MGLU3 sobe,https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-29012024/,infomoney.com.br,Portuguese,68fa5e3961f9778f27b4c84f7a543a8e26ddcdc22c004e036c392d9f7f0fed01
2024-01-29 12:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,ltimos dias para inscries no concurso Petrobras 2024 com 6 . 412 vagas ; veja edital e salário,ltimos dias para inscries no concurso Petrobras 2024 com 6 . 412 vagas ; veja edital e salário,https://jc.ne10.uol.com.br/colunas/jamildo/2024/01/15664388-ultimos-dias-para-inscricoes-no-concurso-petrobras-2024-com-6-412-vagas-veja-edital-e-salario.html,jc.ne10.uol.com.br,Portuguese,776034aa99baad219796a51f65c42af5a4d2fc98fbb164fd58e56e992d92239a
2024-01-29 08:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Folha ataca BNDES e política industrial do governo Lula , que foi elogiada por todos os setores da indústria","Folha ataca BNDES e política industrial do governo Lula , que foi elogiada por todos os setores da indústria",https://www.brasil247.com/midia/folha-ataca-bndes-e-politica-industrial-do-governo-lula-que-foi-elogiada-por-todos-os-setores-da-industria,brasil247.com,Portuguese,836606ad0e67dd94ca3650aad895ac93b52cc250605b3dadff8107d715e2aa52
2024-01-29 07:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Petrobras encontra sinais de petróleo na Margem Equatorial - Egídio Serpa,Petrobras encontra sinais de petróleo na Margem Equatorial - Egídio Serpa,https://diariodonordeste.verdesmares.com.br:443/opiniao/colunistas/egidio-serpa/petrobras-encontra-sinais-de-petroleo-na-margem-equatorial-1.3472334,diariodonordeste.verdesmares.com.br,Portuguese,11923e23f204d5b8e67bd41f53911c07fbe28a0ea6361c8a06a5e521fe6fe66b
2024-01-28 15:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Já somos doutores em escapar de sanes americanas , diz embaixador do Ir","Já somos doutores em escapar de sanes americanas , diz embaixador do Ir",https://www.estadao.com.br/internacional/ja-somos-doutores-em-escapar-de-sancoes-americanas-diz-embaixador-do-ira/,estadao.com.br,Portuguese,cdb6c4410cc110bb4aa89022973edceeb8e1d71c9e3a516d0243c90b629e2c42
2024-01-28 14:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Valor de mercado de Big Techs cresce US$ 489 bi em janeiro - metade do valor das empresas da B3,Valor de mercado de Big Techs cresce US$ 489 bi em janeiro - metade do valor das empresas da B3,https://exame.com/invest/mercados/valor-de-mercado-de-big-techs-soma-us-489bi-em-janeiro-metade-do-valor-de-todas-as-empresas-da-b3/,exame.com,Portuguese,43e7c1bfc824812d8588dc1d2ec85b5588b877e0f229667f98f85559287a77ba
2024-01-28 14:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Selees e concursos ofertam mais de 1 , 7 mil vagas com salários de até R$ 13 , 6 mil em Pernambuco","Selees e concursos ofertam mais de 1 , 7 mil vagas com salários de até R$ 13 , 6 mil em Pernambuco",https://jornalfloripa.com.br/pagina/1321498,jornalfloripa.com.br,Portuguese,f8b8021c74e81f784015f2a972375b0c509699e267284c11439f44ddc4df1a80
2024-01-28 14:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Concluída perfurao em poço da Margem Equatorial - 28 / 01 / 2024,Concluída perfurao em poço da Margem Equatorial - 28 / 01 / 2024,https://www.dgabc.com.br/Noticia/4098146/concluida-perfuracao-em-poco-da-margem-equatorial,dgabc.com.br,Portuguese,c12e65c710fe9770e3886c1bf85c91607693dc7b53adb7d3e466315f4c0567ae
2024-01-28 13:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Concluída perfurao em poço da Margem Equatorial,Concluída perfurao em poço da Margem Equatorial,https://economia.uol.com.br/noticias/estadao-conteudo/2024/01/28/concluida-perfuracao-em-poco-da-margem-equatorial.htm,economia.uol.com.br,Portuguese,84b6d0ed0c8119d476f23c8dc4776784b300b755198ba8b88d3eddd4886f929e
2024-01-28 12:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Nenhum país se desenvolve sem uma indústria forte , diz Aloizio Mercadante","Nenhum país se desenvolve sem uma indústria forte , diz Aloizio Mercadante",https://www.brasil247.com/entrevistas/nenhum-pais-se-desenvolve-sem-uma-industria-forte-diz-aloizio-mercadante,brasil247.com,Portuguese,39b78991a1564c2dcf4af74a9461bdab3b8c187220149c0d16b69baa20939615
2024-01-28 11:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,A pressão contínua,A pressão contínua,https://oglobo.globo.com/blogs/merval-pereira/coluna/2024/01/a-pressao-continua.ghtml,oglobo.globo.com,Portuguese,3c4c8ccc179f49b072b94b0db008df1441fd87b7b20cd737c6194121d27e7375
2024-01-28 09:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Fórum dos Leitores,Fórum dos Leitores,https://www.estadao.com.br/opiniao/forum-dos-leitores/forum-dos-leitores-28-1-24/,estadao.com.br,Portuguese,0ca4e6f723df6a839b5e1457a63122b6f6276b3ee40ad0dfd803493b1c128b63
2024-01-28 08:30:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Promessas e perigos do plano industrial,Promessas e perigos do plano industrial,https://www.estadao.com.br/opiniao/rolf-kuntz/promessas-e-perigos-do-plano-industrial/,estadao.com.br,Portuguese,bc0ae3d596db2e89ed98d567942110f6a96948419082edc026422e893c12968b
2024-01-28 07:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"O salto da energia eólica : setor prevê quase dobrar de tamanho até 2030 , com aportes de R$ 175 bi","O salto da energia eólica : setor prevê quase dobrar de tamanho até 2030 , com aportes de R$ 175 bi",https://www.estadao.com.br/economia/negocios/energia-eolica-brasil-crescimento-investimentos/,estadao.com.br,Portuguese,06aed361448fe22ebc928d6f7fa4d08c1999660427d23da875402b603cc8ca37
2024-01-28 04:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,O apagão de competência |,O apagão de competência |,https://odia.ig.com.br/rio-de-janeiro/um-olhar-sobre-o-rio/2024/01/6782529-o-apagao-de-competencia.html,odia.ig.com.br,Portuguese,399338b3468215046026cd301e50ce3648c9d0c510362ba68dc5a3059d83c2fd
2024-01-28 00:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Projetos do governo abrem caminho para inchar BNDES , dizem economistas","Projetos do governo abrem caminho para inchar BNDES , dizem economistas",https://jornaldebrasilia.com.br/noticias/politica-e-poder/projetos-do-governo-abrem-caminho-para-inchar-bndes-dizem-economistas/,jornaldebrasilia.com.br,Portuguese,1903458f19baf99798e94c4650ffe65331dbad317c050d9dff43135ae55abcc8
2024-01-27 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Gol , Latam e Azul ganharam R$ 6 , 5 bilhões em renúncia fiscal em 2021","Gol , Latam e Azul ganharam R$ 6 , 5 bilhões em renúncia fiscal em 2021",https://www.jornaldocomercio.com/economia/2024/01/1140761-gol-latam-e-azul-ganharam-rs-65-bilhoes-em-renuncia-fiscal-em-2021.html,jornaldocomercio.com,Portuguese,e564c5eea09c3bdf150fed48726683694bccc679f6d9b4d4f1dc4f8e020f090d
2024-01-27 20:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Petrobras encontra indícios de petróleo na Margem Equatorial ; região foi pivô de conflito com Ibama,Petrobras encontra indícios de petróleo na Margem Equatorial ; região foi pivô de conflito com Ibama,https://exame.com/brasil/petrobras-encontra-indicios-de-petroleo-na-margem-equatorial-regiao-foi-pivo-de-conflito-com-ibama/,exame.com,Portuguese,f4fb0a8b01766c75321a6b6dfc7628cad21199e57258aec766f9f401b064ffc7
2024-01-27 20:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Inflao na mesa : Batata - inglesa ficou 25 % mais cara em janeiro ; veja os produtos com maiores altas,Inflao na mesa : Batata - inglesa ficou 25 % mais cara em janeiro ; veja os produtos com maiores altas,https://exame.com/economia/inflacao-na-mesa-batata-inglesa-ficou-25-mais-cara-em-janeiro-veja-os-produtos-com-maiores-altas/,exame.com,Portuguese,4e0356656a07337b1e9d83687e6c7ed0049141a85710b69982cf38d85c6965df
