Protocolo_Entrega,Ticker,Empresa,Categoria,Assunto,Entrega,Pregao_reacao,Parkinson_d1,Volume_d1,Gap_d1,Intradia_d1,Retorno_d1,razaoVol_1 semana (-6 a -2),razaoVolume_1 semana (-6 a -2),razaoVol_2 semanas (-11 a -2),razaoVolume_2 semanas (-11 a -2),razaoVol_1 mês (-23 a -2),razaoVolume_1 mês (-23 a -2),razaoVol_distante (-120 a -21),razaoVolume_distante (-120 a -21),Rotulo,Indice,Confianca,Generico,Atribuivel
019348IPE290720190104367506-61,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Programa de Desligamento Voluntário,2019-07-29 19:25:01,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Negative,-0.7870418,0.8312135,False,False
019348IPE290720190104366805-92,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,"Divulgação dos resultados do segundo trimestre de 2019, de acordo com o padrão contábil internacional - IFRS",2019-07-29 19:02:23,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Positive,0.75902,0.81131566,False,False
019348IPE290720190104366805-95,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Gerenciamento de Riscos - Pilar 3,2019-07-29 19:03:36,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Neutral,-0.0011939257,0.63212943,False,False
019348IPE290720190104366805-75,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Indicadores financeiros selecionados sobre o resultado trimestral.,2019-07-29 19:00:07,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Neutral,0.04580854,0.7704873,False,False
019348IPE290720190104366805-98,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Informações sobre o Resultado do 2º Trimestre de 2019.,2019-07-29 20:09:12,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Neutral,0.21288607,0.50322956,False,False
019348IPE290720190104366806-30,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Fato Relevante,Pagamento de dividendos complementares,2019-07-29 19:04:44,2019-07-30,0.0188985927128477,50086077.0,-0.0054204135469316,-0.0283882649144459,-0.0338086784613776,1.2070854169649616,2.195231191684632,1.4198472623496703,2.3066005922970585,1.502222987317389,2.3191602875116866,1.38003926371251,2.1337612629003497,Neutral,-0.028008372,0.78201437,False,False
019348IPE070820190104368410-84,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria Julho/2019,2019-08-07 18:04:16,2019-08-08,0.0110346221515481,34212974.0,0.0054198430287372,0.0,0.0054198430287372,0.748326400603934,1.1168099920846892,0.6863782367838491,1.159080727169579,0.8180897513911811,1.4065184390400958,0.8300054837723849,1.5373721941111198,Neutral,0.008918881,0.82839787,False,True
019348IPE120820190204380710-81,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Telas Ciclo APIMEC 2019 - ITAÚ UNIBANCO HOLDING S.A. - Rio de Janeiro/RJ,2019-08-14 18:14:13,2019-08-15,0.0114493757371591,21625004.0,0.0107680249144637,-0.0136211137023803,-0.0028530887879165,0.6841273333315568,0.8833954064362417,0.727372323975646,0.7847376826353237,0.7803897952418739,0.840967705097875,0.8765304978308088,0.9918017626427916,Neutral,-0.0015571862,0.68700904,False,True
019348IPE060920190104371410-84,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria Agosto/2019,2019-09-06 18:04:05,2019-09-09,0.0157566058792013,39482670.0,0.0056703279754091,0.0184879530326067,0.0241582810080159,1.0336391078939904,1.5805484282676974,1.0141281575086076,1.6258462254844743,1.0499318380152614,1.70520449398421,1.1527090386689387,1.699709762543034,Neutral,0.0073853433,0.8262041,False,True
019348IPE120920190104372011-00,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,Comunicado ao Mercado,Telas Ciclo APIMEC 2019 - ITAÚ UNIBANCO HOLDING S.A. - Fortaleza/CE,2019-09-12 18:08:12,2019-09-13,0.0150314851537076,28419039.0,0.0033853551000052,0.010086911963691,0.0134722670636963,0.863477787520336,0.9159333725343728,0.9557978756122668,1.129615045893693,1.0083200609576082,1.2260296408277032,1.1142896086870309,1.2537938190869573,Neutral,-0.0051902533,0.6875958,False,True
