Ticker,Data,Categoria,Assunto,sigma_est,CAR[0],ABS[0],"CAR[0,+1]","ABS[0,+1]","CAR[-1,+1]","ABS[-1,+1]","CAR[0,+5]","ABS[0,+5]",CAR_padronizado
ENGI11,2023-04-18,Comunicado ao Mercado,Aneel homologa revisão tarifária periódica da ESE,0.016455796509468195,-0.023875784847707346,0.023875784847707346,-0.028114504192069213,0.014057252096034607,-0.044568118665379894,0.014856039555126632,-0.014895628320314068,0.011747498638953954,-1.208082304157772
ENGI11,2023-04-18,Comunicado ao Mercado,Aneel homologa revisão tarifária periódica da ESE,0.016455796509468195,-0.023875784847707346,0.023875784847707346,-0.028114504192069213,0.014057252096034607,-0.044568118665379894,0.014856039555126632,-0.014895628320314068,0.011747498638953954,-1.208082304157772
ENGI11,2023-04-18,Comunicado ao Mercado,Apresentação de resultados 4T22,0.016455796509468195,-0.023875784847707346,0.023875784847707346,-0.028114504192069213,0.014057252096034607,-0.044568118665379894,0.014856039555126632,-0.014895628320314068,0.011747498638953954,-1.208082304157772
VALE3,2023-04-18,Comunicado ao Mercado,Produção e vendas da Vale no 1T23,0.019879664218663776,0.005929454581050698,0.005929454581050698,-0.015245152483499527,0.013552030822800461,-0.028009944356990394,0.013289617839697265,-0.09725774339287324,0.020241318336194396,-0.5422602003098638
SLCE3,2023-04-19,Comunicado ao Mercado,Finalização do Programa de Recompra de Ações,0.0151766143862259,-0.017227886571532697,0.017227886571532697,-0.02505805032447411,0.012529025162237055,-0.029717448266384956,0.009905816088794985,-0.04676411333305333,0.010131994282101186,-1.1675013185965037
KLBN11,2023-04-19,Comunicado ao Mercado,Rating Fitch,0.01640761260905769,0.009335857779488324,0.009335857779488324,-0.007014841389826613,0.01284327847440163,0.00324933401097011,0.011983577449866662,-0.014023201646838682,0.007892363666600438,-0.30231344643986785
UGPA3,2023-04-19,Comunicado ao Mercado,Eleição de membros do Conselho de Administração,0.0164880221941644,0.024831026945203366,0.024831026945203366,0.006361381907148425,0.021650335991629154,0.010368751126931176,0.015769347067680354,0.0055495680030735565,0.0140453934584587,0.27281478829244304
RADL3,2023-04-19,Fato Relevante,Aprovação de aumento de capital com bonificação em ações aos acionistas,0.014978263202157635,-0.001868041162741741,0.001868041162741741,0.012872323220253102,0.008304202772868292,0.0069504121954184015,0.007510105523523762,0.043247325220883426,0.010668789907015032,0.6076877482934641
UGPA3,2023-04-19,Comunicado ao Mercado,Assinatura de contrato para aquisição de 50% da Opla pela Ultracargo,0.0164880221941644,0.024831026945203366,0.024831026945203366,0.006361381907148425,0.021650335991629154,0.010368751126931176,0.015769347067680354,0.0055495680030735565,0.0140453934584587,0.27281478829244304
PETR4,2023-04-19,Comunicado ao Mercado,Petrobras sobre parceria com Shell e Senai CIMATEC,0.02301967952022302,-0.007201910388654666,0.007201910388654666,-0.0036014850657746732,0.0054011678557673295,0.021673032669613124,0.012025617815640816,-0.003796114777674619,0.011996072791673647,-0.11062858238813042
CYRE3,2023-04-19,Comunicado ao Mercado,Mudança de Escriturador/Change of Bookkeeper,0.024184862174535245,0.0032000162440768212,0.0032000162440768212,-0.000805755921879675,0.0036028942050166587,-0.018741830893721393,0.008380621127291678,0.036375977678032606,0.007648602522096701,-0.023558351179782364
LREN3,2023-04-20,Comunicado ao Mercado,Mudança na composição do comitê de auditoria estatutário,0.02272266653506716,-0.004089540588001554,0.004089540588001554,-8.526128368616277e-05,0.004046909946158472,-0.018099709490144035,0.00870275603292494,0.050146342322129445,0.014130416800140313,-0.0026532463421101494
BRKM5,2023-04-20,Comunicado ao Mercado,Braskem comunica sobre decisão judicial a respeito do evento geológico em Alagoas,0.021517400753532923,-0.021611529391114104,0.021611529391114104,-0.05709150383023704,0.02854575191511852,-0.03856304096153076,0.025206655566314445,0.024243186984523386,0.027583910453663252,-1.876146192976867
PETR4,2023-04-20,Comunicado ao Mercado,Petrobras sobre resultado do 1º trimestre de 2023,0.023041667081439118,0.0036436818309830764,0.0036436818309830764,0.028782706758489554,0.014391353379244777,0.02168013475271014,0.011961759588089656,0.011850076207345813,0.012165885250117843,0.8832888287942697
PETR4,2023-04-20,Comunicado ao Mercado,Petrobras sobre ampliação da capacidade da RNEST,0.023041667081439118,0.0036436818309830764,0.0036436818309830764,0.028782706758489554,0.014391353379244777,0.02168013475271014,0.011961759588089656,0.011850076207345813,0.012165885250117843,0.8832888287942697
YDUQ3,2023-04-20,Comunicado ao Mercado,Eleição de membro do Conselho de Administração,0.030736448530465022,0.03182969711838065,0.03182969711838065,0.07280366447657086,0.03640183223828543,0.04281019915192752,0.03426570993373807,0.11212457274332724,0.019719294656177524,1.674883316320298
