Data_Entrega,Ano,Ticker,Nome_Companhia,Codigo_CVM,Categoria,Tipo,Especie,Assunto,Protocolo_Entrega,Link_Download
2023-01-31,2023,LIGT3,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,19879,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia Divulgada na Mídia,019879IPE310120230204495705-31,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053478&numSequencia=578208&numVersao=2
2023-01-31,2023,ENGI11,ENERGISA SA,15253,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Previsão de investimentos do Grupo Energisa para 2023,015253IPE310120230104495705-46,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053447&numSequencia=578177&numVersao=1
2023-01-31,2023,NTCO3,NATURA & CO HOLDING S.A.,24783,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia divulgada na mídia,024783IPE310120230104495705-88,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053460&numSequencia=578190&numVersao=1
2023-01-31,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Petrobras sobre recebimento do earnout de Atapu,009512IPE310120230104495712-04,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053751&numSequencia=578481&numVersao=1
2023-01-31,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Petrobras sobre acordo de colaboração premiada,009512IPE310120230104495711-91,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053721&numSequencia=578451&numVersao=1
2023-01-31,2023,COGN3,COGNA EDUCAÇÃO S.A.,17973,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Bloomberg Gender Equality Index (GEI),017973IPE310120230104495711-90,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053747&numSequencia=578477&numVersao=1
2023-01-31,2023,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,19348,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação Itaú Day 2022,019348IPE010920220104495711-55,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053686&numSequencia=578416&numVersao=1
2023-01-31,2023,BEEF3,MINERVA S/A,20931,Fato Relevante,,,Aquisição BPU Meat,020931IPE310120230104495704-26,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053440&numSequencia=578170&numVersao=1
2023-01-31,2023,VALE3,VALE S.A.,4170,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Produção e vendas da Vale no 4T22 e 2022,004170IPE310120230104495711-27,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053673&numSequencia=578403&numVersao=1
2023-01-31,2023,ELET3,CENTRAIS ELETRICAS BRASILEIRAS SA,2437,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Bloomberg Gender - Equality Index 2023,002437IPE310120230104495711-51,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053718&numSequencia=578448&numVersao=1
2023-01-31,2023,ELET3,CENTRAIS ELETRICAS BRASILEIRAS SA,2437,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Aporte de Valores 2023,002437IPE310120230104495713-62,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053778&numSequencia=578508&numVersao=1
2023-01-31,2023,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,19348,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Não exercício de opção de resgate de notas subordinadas perpetuas.,019348IPE310120230104495711-23,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053682&numSequencia=578412&numVersao=1
2023-01-31,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Petrobras sobre confirmação na nota de crédito pela Fitch,009512IPE310120230104495711-21,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1053668&numSequencia=578398&numVersao=1
2023-02-01,2023,ABEV3,AMBEV S.A.,23264,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Negociações atípicas de valores mobiliários,023264IPE010220230104495813-70,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054384&numSequencia=579114&numVersao=1
2023-02-01,2023,VIVT3,TELEFÔNICA BRASIL S.A.,17671,Fato Relevante,,,Incorporação da Garliava RJ Infraestrutura e Redes de Telecomunicações S.A.,017671IPE010220230104495811-27,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054237&numSequencia=578967&numVersao=1
2023-02-01,2023,CPFE3,CPFL ENERGIA SA,18660,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Entrada em Operação de Sul I,018660IPE010220230104495811-87,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054274&numSequencia=579004&numVersao=1
2023-02-01,2023,BBAS3,BANCO DO BRASIL S.A.,1023,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,BB é o banco mais sustentável da América do Sul,001023IPE010220230104495812-30,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054295&numSequencia=579025&numVersao=1
2023-02-01,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Fato Relevante,,,Petrobras sobre resultado de julgamento do CARF,009512IPE010220230104495811-71,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054268&numSequencia=578998&numVersao=1
2023-02-01,2023,ASAI3,SENDAS DISTRIBUIDORA S.A.,25372,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Resposta ao Ofício nº 208/2023-SLS sobre oscilação atípica em 31/01/2023,025372IPE010220230204492811-44,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054264&numSequencia=578994&numVersao=2
2023-02-02,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Fato Relevante,,,Petrobras sobre indicações para a Diretoria Executiva,009512IPE020220230104495912-19,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054748&numSequencia=579478&numVersao=1
2023-02-02,2023,OIBR3,OI S.A. - EM RECUPERAÇÃO JUDICIAL,11312,Fato Relevante,,,Pedido de Tutela de Urgência Cautelar,011312IPE020220230104495904-95,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054441&numSequencia=579171&numVersao=1
2023-02-02,2023,ABEV3,AMBEV S.A.,23264,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Outros Comunicados Não considerados Fatos Relevantes,023264IPE020220230104495914-87,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054879&numSequencia=579609&numVersao=1
2023-02-02,2023,SANB11,BANCO SANTANDER (BRASIL) S.A.,20532,Comunicado ao Mercado,Apresentações a analistas/agentes do mercado,,Apresentação de Resultados 4T22,020532IPE311220220104495905-88,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054450&numSequencia=579180&numVersao=1
2023-02-02,2023,ELET3,CENTRAIS ELETRICAS BRASILEIRAS SA,2437,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Resposta ao Ofício B3 221 2023,002437IPE020220230104495912-21,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054778&numSequencia=579508&numVersao=1
2023-02-02,2023,BEEF3,MINERVA S/A,20931,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia divulgada na mídia,020931IPE020220230104495911-12,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054690&numSequencia=579420&numVersao=1
2023-02-02,2023,LIGT3,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,19879,Fato Relevante,,,Alteração de Rating Light S.A. e subsidiárias - Rating Fitch,019879IPE020220230104495914-45,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054878&numSequencia=579608&numVersao=1
2023-02-02,2023,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,19348,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Itaú Unibanco emite Social Bonds de R$ 2 bilhões.,019348IPE020220230104495900-59,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054432&numSequencia=579162&numVersao=1
2023-02-03,2023,GGBR4,GERDAU S.A.,3980,Fato Relevante,,,Processo Judicial de Natureza Tributária,003980IPE030220230104496011-57,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055235&numSequencia=579965&numVersao=1
2023-02-03,2023,LIGT3,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,19879,Fato Relevante,,,Alteração de Rating Light S.A. e subsidiárias - Moody's e S&ampP,019879IPE030220230104496014-42,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055411&numSequencia=580141&numVersao=1
2023-02-03,2023,OIBR3,OI S.A. - EM RECUPERAÇÃO JUDICIAL,11312,Fato Relevante,,,Tutela de Urgência Cautelar,011312IPE030220230104496005-29,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054913&numSequencia=579643&numVersao=1
2023-02-03,2023,GOLL4,GOL LINHAS AEREAS INTELIGENTES SA,19569,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Ofício 1249/2022 - SLS - GOL Linhas Aéreas Inteligentes S.A.,019569IPE030220230104496013-31,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055363&numSequencia=580093&numVersao=1
2023-02-03,2023,OIBR3,OI S.A. - EM RECUPERAÇÃO JUDICIAL,11312,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia divulgada na mídia,011312IPE030220230104496005-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054911&numSequencia=579641&numVersao=1
2023-02-03,2023,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",21610,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Conclusão Aquisição Datastock,021610IPE030220230104496011-51,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055236&numSequencia=579966&numVersao=1
2023-02-03,2023,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Petrobras sobre notícias veiculadas na mídia,009512IPE030220230104496011-46,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055252&numSequencia=579982&numVersao=1
2023-02-03,2023,BPAC11,BANCO BTG PACTUAL S/A,22616,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia Divulgada na Mídia,022616IPE030220230104496013-46,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055354&numSequencia=580084&numVersao=1
2023-02-03,2023,CVCB3,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,23310,Fato Relevante,,,Alteração de Rating,023310IPE030220230104496011-32,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055248&numSequencia=579978&numVersao=1
2023-02-03,2023,CCRO3,CCR S.A.,18821,Fato Relevante,,,Acordo entre Barcas e o Estado do Rio de Janeiro,018821IPE030220230104496011-76,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055266&numSequencia=579996&numVersao=1
2023-02-03,2023,CVCB3,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,23310,Fato Relevante,,,Prévia Operacional,023310IPE030220230104496011-35,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055228&numSequencia=579958&numVersao=1
2023-02-03,2023,BBAS3,BANCO DO BRASIL S.A.,1023,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Comunicado ao Mercado - Eleição de vice-presidentes,001023IPE030220230104496005-87,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1054917&numSequencia=579647&numVersao=1
2023-02-03,2023,GOAU4,METALURGICA GERDAU SA,8656,Fato Relevante,,,Processo Judicial de Natureza Tributária,008656IPE030220230104496011-37,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1055238&numSequencia=579968&numVersao=1
